IBAN/BBAN,Munt,BIC,Volgnr,Datum,Rentedatum,Bedrag,Saldo na trn,Tegenrekening IBAN/BBAN,Naam tegenpartij,Naam uiteindelijke partij,Naam initiërende partij,BIC tegenpartij,Code,Batch ID,Transactiereferentie,Machtigingskenmerk,Incassant ID,Betalingskenmerk,Omschrijving-1,Omschrijving-2,Omschrijving-3,Reden retour,Oorspr bedrag,Oorspr munt,Koers
NL91RABO0100029269,EUR,RABONL2U,1,2024-01-05,2024-01-05,5000.00,5000.00,NL86INGB0002445588,Ministerie VWS,,,,bc,,REF001,,,,Subsidie Q1 2024 projectfonds gezondheid,,,,
NL91RABO0100029269,EUR,RABONL2U,2,2024-01-10,2024-01-10,-1200.00,3800.00,NL44RABO0123456789,Salarisverwerking BV,,,,ba,,REF002,,,,Salarissen januari 2024,,,,
NL91RABO0100029269,EUR,RABONL2U,3,2024-01-15,2024-01-15,-85.50,3714.50,NL56RABO0987654321,KPN Zakelijk,,,,ba,,REF003,,,,Telefoon en internet januari,,,,
NL91RABO0100029269,EUR,RABONL2U,4,2024-01-20,2024-01-20,500.00,4214.50,NL33ABNA0417164300,Jan de Vries,,,,bc,,REF004,,,,Donatie algemeen fonds,,,,
NL91RABO0100029269,EUR,RABONL2U,5,2024-01-25,2024-01-25,-350.00,3864.50,NL02ABNA0123456789,Office Centre,,,,ba,,REF005,,,,Kantoorbenodigdheden en printpapier,,,,
NL91RABO0100029269,EUR,RABONL2U,6,2024-02-01,2024-02-01,2000.00,5864.50,NL88RABO0456789012,Gemeente Amsterdam,,,,bc,,REF006,,,,Subsidie buurtproject Oost Q1,,,,
NL91RABO0100029269,EUR,RABONL2U,7,2024-02-05,2024-02-05,-1200.00,4664.50,NL44RABO0123456789,Salarisverwerking BV,,,,ba,,REF007,,,,Salarissen februari 2024,,,,
NL91RABO0100029269,EUR,RABONL2U,8,2024-02-12,2024-02-12,-420.00,4244.50,NL91RABO0200000001,NS Zakelijk,,,,ba,,REF008,,,,Reiskosten medewerkers Q1,,,,
NL91RABO0100029269,EUR,RABONL2U,9,2024-02-18,2024-02-18,750.00,4994.50,NL11ABNA0099876543,Maria Jansen,,,,bc,,REF009,,,,Donatie project Jeugd 2024,,,,
NL91RABO0100029269,EUR,RABONL2U,10,2024-02-22,2024-02-22,-180.00,4814.50,NL76RABO0300000002,HEMA,,,,ba,,REF010,,,,Materialen activiteit,,,,
NL91RABO0100029269,EUR,RABONL2U,11,2024-03-01,2024-03-01,3000.00,7814.50,NL86INGB0002445588,Ministerie VWS,,,,bc,,REF011,,,,Subsidie Q1 projectfonds welzijn,,,,
NL91RABO0100029269,EUR,RABONL2U,12,2024-03-05,2024-03-05,-1200.00,6614.50,NL44RABO0123456789,Salarisverwerking BV,,,,ba,,REF012,,,,Salarissen maart 2024,,,,
NL91RABO0100029269,EUR,RABONL2U,13,2024-03-10,2024-03-10,-650.00,5964.50,NL55RABO0400000003,Accountantskantoor Bakker,,,,ba,,REF013,,,,Accountantskosten jaarrekening 2023,,,,
NL91RABO0100029269,EUR,RABONL2U,14,2024-03-15,2024-03-15,1200.00,7164.50,NL09ABNA0555555555,Stichting Fonds NL,,,,bc,,REF014,,,,Bijdrage projectkosten 2024,,,,
NL91RABO0100029269,EUR,RABONL2U,15,2024-03-20,2024-03-20,-95.00,7069.50,NL56RABO0987654321,KPN Zakelijk,,,,ba,,REF015,,,,Telefoon en internet februari,,,,
NL91RABO0100029269,EUR,RABONL2U,16,2024-04-01,2024-04-01,-1200.00,5869.50,NL44RABO0123456789,Salarisverwerking BV,,,,ba,,REF016,,,,Salarissen april 2024,,,,
NL91RABO0100029269,EUR,RABONL2U,17,2024-04-05,2024-04-05,500.00,6369.50,NL33ABNA0417164300,Pieter Smit,,,,bc,,REF017,,,,Contributie lid 2024,,,,
NL91RABO0100029269,EUR,RABONL2U,18,2024-04-10,2024-04-10,-280.00,6089.50,NL91RABO0200000001,ANWB Zakelijk,,,,ba,,REF018,,,,Verzekering zakelijk,,,,
NL91RABO0100029269,EUR,RABONL2U,19,2024-04-15,2024-04-15,4000.00,10089.50,NL88RABO0456789012,Gemeente Amsterdam,,,,bc,,REF019,,,,Subsidie buurtproject Oost Q2,,,,
NL91RABO0100029269,EUR,RABONL2U,20,2024-04-22,2024-04-22,-500.00,9589.50,NL66RABO0500000004,Drukkerij Visser,,,,ba,,REF020,,,,Drukwerk flyers en brochures,,,,
NL91RABO0100029269,EUR,RABONL2U,21,2024-05-05,2024-05-05,-1200.00,8389.50,NL44RABO0123456789,Salarisverwerking BV,,,,ba,,REF021,,,,Salarissen mei 2024,,,,
NL91RABO0100029269,EUR,RABONL2U,22,2024-05-10,2024-05-10,300.00,8689.50,NL22ABNA0888888888,Anonieme donateur,,,,bc,,REF022,,,,Donatie algemeen,,,,
NL91RABO0100029269,EUR,RABONL2U,23,2024-05-15,2024-05-15,-120.00,8569.50,NL91RABO0200000001,NS Zakelijk,,,,ba,,REF023,,,,Reiskosten medewerkers mei,,,,
NL91RABO0100029269,EUR,RABONL2U,24,2024-05-20,2024-05-20,-85.00,8484.50,NL56RABO0987654321,KPN Zakelijk,,,,ba,,REF024,,,,Telefoon en internet mei,,,,
NL91RABO0100029269,EUR,RABONL2U,25,2024-06-01,2024-06-01,5000.00,13484.50,NL86INGB0002445588,Ministerie VWS,,,,bc,,REF025,,,,Subsidie Q2 projectfonds gezondheid,,,,
NL91RABO0100029269,EUR,RABONL2U,26,2024-06-05,2024-06-05,-1200.00,12284.50,NL44RABO0123456789,Salarisverwerking BV,,,,ba,,REF026,,,,Salarissen juni 2024,,,,
NL91RABO0100029269,EUR,RABONL2U,27,2024-06-12,2024-06-12,-750.00,11534.50,NL77RABO0600000005,Catering De Smulpaap,,,,ba,,REF027,,,,Catering jubileumbijeenkomst,,,,
NL91RABO0100029269,EUR,RABONL2U,28,2024-06-20,2024-06-20,1500.00,13034.50,NL09ABNA0555555555,Stichting Fonds NL,,,,bc,,REF028,,,,Bijdrage project jeugdwerk,,,,
NL91RABO0100029269,EUR,RABONL2U,29,2024-07-05,2024-07-05,-1200.00,11834.50,NL44RABO0123456789,Salarisverwerking BV,,,,ba,,REF029,,,,Salarissen juli 2024,,,,
NL91RABO0100029269,EUR,RABONL2U,30,2024-07-10,2024-07-10,-95.00,11739.50,NL56RABO0987654321,KPN Zakelijk,,,,ba,,REF030,,,,Telefoon en internet juli,,,,
NL91RABO0100029269,EUR,RABONL2U,31,2024-07-15,2024-07-15,600.00,12339.50,NL44ABNA0777777777,Sophie van den Berg,,,,bc,,REF031,,,,Donatie zomercampagne 2024,,,,
NL91RABO0100029269,EUR,RABONL2U,32,2024-08-05,2024-08-05,-1200.00,11139.50,NL44RABO0123456789,Salarisverwerking BV,,,,ba,,REF032,,,,Salarissen augustus 2024,,,,
NL91RABO0100029269,EUR,RABONL2U,33,2024-08-12,2024-08-12,2500.00,13639.50,NL88RABO0456789012,Gemeente Amsterdam,,,,bc,,REF033,,,,Subsidie buurtproject Oost Q3,,,,
NL91RABO0100029269,EUR,RABONL2U,34,2024-08-20,2024-08-20,-320.00,13319.50,NL91RABO0200000001,NS Zakelijk,,,,ba,,REF034,,,,Reiskosten zomer,,,,
NL91RABO0100029269,EUR,RABONL2U,35,2024-09-01,2024-09-01,5000.00,18319.50,NL86INGB0002445588,Ministerie VWS,,,,bc,,REF035,,,,Subsidie Q3 projectfonds gezondheid,,,,
NL91RABO0100029269,EUR,RABONL2U,36,2024-09-05,2024-09-05,-1200.00,17119.50,NL44RABO0123456789,Salarisverwerking BV,,,,ba,,REF036,,,,Salarissen september 2024,,,,
NL91RABO0100029269,EUR,RABONL2U,37,2024-09-10,2024-09-10,-85.00,17034.50,NL56RABO0987654321,KPN Zakelijk,,,,ba,,REF037,,,,Telefoon en internet september,,,,
NL91RABO0100029269,EUR,RABONL2U,38,2024-09-15,2024-09-15,800.00,17834.50,NL11ABNA0099876543,Bedrijf X BV,,,,bc,,REF038,,,,Sponsorbijdrage jaarverslag,,,,
NL91RABO0100029269,EUR,RABONL2U,39,2024-10-05,2024-10-05,-1200.00,16634.50,NL44RABO0123456789,Salarisverwerking BV,,,,ba,,REF039,,,,Salarissen oktober 2024,,,,
NL91RABO0100029269,EUR,RABONL2U,40,2024-10-10,2024-10-10,-450.00,16184.50,NL55RABO0400000003,Accountantskantoor Bakker,,,,ba,,REF040,,,,Tussentijdse controle 2024,,,,
NL91RABO0100029269,EUR,RABONL2U,41,2024-10-15,2024-10-15,1000.00,17184.50,NL33ABNA0417164300,Diverse donateurs,,,,bc,,REF041,,,,Opbrengst collecte oktober,,,,
NL91RABO0100029269,EUR,RABONL2U,42,2024-10-22,2024-10-22,-190.00,16994.50,NL91RABO0200000001,NS Zakelijk,,,,ba,,REF042,,,,Reiskosten oktober,,,,
NL91RABO0100029269,EUR,RABONL2U,43,2024-11-01,2024-11-01,2000.00,18994.50,NL88RABO0456789012,Gemeente Amsterdam,,,,bc,,REF043,,,,Subsidie buurtproject Oost Q4,,,,
NL91RABO0100029269,EUR,RABONL2U,44,2024-11-05,2024-11-05,-1200.00,17794.50,NL44RABO0123456789,Salarisverwerking BV,,,,ba,,REF044,,,,Salarissen november 2024,,,,
NL91RABO0100029269,EUR,RABONL2U,45,2024-11-12,2024-11-12,-85.00,17709.50,NL56RABO0987654321,KPN Zakelijk,,,,ba,,REF045,,,,Telefoon en internet november,,,,
NL91RABO0100029269,EUR,RABONL2U,46,2024-11-20,2024-11-20,3500.00,21209.50,NL86INGB0002445588,Ministerie VWS,,,,bc,,REF046,,,,Subsidie Q4 projectfonds gezondheid,,,,
NL91RABO0100029269,EUR,RABONL2U,47,2024-12-05,2024-12-05,-1200.00,20009.50,NL44RABO0123456789,Salarisverwerking BV,,,,ba,,REF047,,,,Salarissen december 2024,,,,
NL91RABO0100029269,EUR,RABONL2U,48,2024-12-10,2024-12-10,500.00,20509.50,NL22ABNA0888888888,Eindejaarscollecte,,,,bc,,REF048,,,,Donaties kerstperiode 2024,,,,
NL91RABO0100029269,EUR,RABONL2U,49,2024-12-15,2024-12-15,-600.00,19909.50,NL66RABO0500000004,Drukkerij Visser,,,,ba,,REF049,,,,Drukwerk jaarverslag 2024,,,,
NL91RABO0100029269,EUR,RABONL2U,50,2024-12-20,2024-12-20,-95.00,19814.50,NL56RABO0987654321,KPN Zakelijk,,,,ba,,REF050,,,,Telefoon en internet december,,,,
